Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
165617,75587682,G,19.2892,-4.21208,-0.651623,18.8121,4.26219,2.19046,-2.98811,-1,G,9.82439,4.34394,-0.473505,8.79849,4.369669999999998,1.44967,-0.108575,1
165617,74452546,G,12.0723,-3.73219,2.51036,-11.2026,4.4979,-1.6437400000000002,2.54948,-1,G,10.4401,3.35463,-3.42022,-9.27537,4.79076,-1.41468,-0.795079,1
165617,74949533,G,10.1639,3.06007,3.51186,-9.03302,4.65802,-1.41613,0.854036,1,G,4.01316,-1.94351,-3.14969,-1.54807,3.70105,-0.406952,-2.12366,-1
165617,74582674,G,4.55234,2.13846,3.99012,0.467524,4.52704,0.103091,1.07881,-1,G,4.94698,-1.92902,-3.82159,2.47704,4.28085,0.550417,-2.03825,1
165617,74763345,G,6.60593,-4.73726,2.16181,-4.06349,5.20722,-0.7172569999999999,2.71348,-1,G,5.0502400000000005,3.55297,-2.3339,-2.72452,4.25097,-0.603594,-0.5812,1
165617,75655550,G,8.55343,-1.16439,-7.737610000000001,3.45306,7.8247300000000015,0.428103,-1.72016,1,G,15.5005,9.95,-9.48521,7.1611600000000015,13.7467,0.49986,-0.761488,-1
165617,75283124,G,9.31889,2.23509,0.874926,9.00385,2.40023,2.03254,0.373114,-1,T,3.6816,-1.89188,-3.1559,0.06403740000000001,3.67953,0.0174028,-2.11083,1
165617,75147032,G,6.45852,2.64834,3.07194,5.02502,4.05592,1.04066,0.859316,-1,G,8.893419999999997,-4.3611900000000015,-3.66924,6.82631,5.69942,1.01451,-2.44215,1
165617,75780123,G,6.1303199999999975,-0.0618615,-5.39831,-2.90243,5.39866,-0.514605,-1.58226,1,G,5.0787900000000015,-1.11635,4.03043,-2.87964,4.182180000000002,-0.643263,1.841,-1
165617,76495055,G,6.01244,4.36137,-2.88021,2.97004,5.22658,0.541416,-0.583645,-1,G,4.20519,-3.81008,1.20911,1.30146,3.99733,0.320088,2.8343,1
165617,75969579,G,27.0782,2.57735,-5.61682,26.3633,6.17992,2.15728,-1.1406,-1,G,6.31839,0.462658,3.16066,5.4504199999999985,3.19434,1.304,1.42545,1
165617,76504418,G,6.3814199999999985,-5.4416699999999985,-1.3736700000000002,-3.03523,5.6123699999999985,-0.517412,-2.89432,-1,G,4.52054,4.00625,0.5185350000000001,-2.02612,4.03967,-0.482603,0.128716,1
