Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
163340,91286870,G,4.38927,-4.197019999999998,-0.08835180000000001,-1.27739,4.19795,-0.29977800000000004,-3.12054,-1,G,4.16933,-4.06736,-0.755421,-0.508017,4.1369099999999985,-0.122494,-2.95796,1
163340,90954463,G,16.2826,5.54818,5.08257,-14.4394,7.421419999999999,-1.40694,0.7420479999999999,1,G,22.5995,8.14523,6.0601,-20.1905,10.1523,-1.4386,0.639654,-1
163340,91405717,G,14.2762,4.52564,-13.4209,-1.78788,14.1634,-0.1259,-1.24556,1,G,8.64,3.04769,-8.07478,-0.384645,8.63078,-0.0445519,-1.20989,-1
163340,91768835,G,19.3932,-6.93289,6.42519,16.9333,9.45241,1.34627,2.39418,1,G,21.3678,-6.742539999999999,7.245789999999999,18.937,9.89764,1.40417,2.32023,-1
163340,91838807,G,34.6322,4.49024,-7.32215,33.55,8.589310000000001,2.07166,-1.0207,-1,T,47.3755,5.4432,-9.0816,46.177,10.5879,2.17881,-1.03084,1
163340,92788724,G,20.799,-2.75944,9.96981,-18.0437,10.3446,-1.32304,1.84082,-1,G,14.73,-2.79355,7.06135,-12.6213,7.59385,-1.28141,1.94751,1
163340,92462865,G,7.550960000000001,7.515060000000001,0.633389,-0.35837800000000003,7.541710000000001,-0.0475016,0.08408389999999999,1,G,5.25996,5.19153,0.615319,0.570484,5.2278699999999985,0.108908,0.117973,-1
163340,93326002,G,11.4624,9.88831,-3.93063,-4.2598400000000005,10.6409,-0.39034,-0.378352,1,G,6.70654,5.47944,-2.99676,-2.44165,6.24538,-0.381622,-0.500467,-1
163340,93420389,G,39.1852,-4.224469999999998,31.8744,22.3973,32.1532,0.649864,1.70256,1,G,16.7974,-2.19752,13.913,9.1511,14.0854,0.6109600000000001,1.72745,-1
163340,93677217,G,10.9617,-3.1662,-8.912289999999997,5.54019,9.458,0.5565829999999999,-1.91215,1,G,7.087439999999999,-2.55743,-5.8541,3.06752,6.38834,0.463409,-1.98267,-1
